Product Name,Type,Tags,Price,Description,Serving Info,THC Dosage,Cannabinoids,Ingredients,Short Description,Shipping Restrictions
5mg THC + 5mg CBD Watermelon Gummies,Gummies,"CBD, Gummies, NoShip_California, NoShip_Vermont, Relief, THC, Vibe",29.99,5mg straight-from-the-plant THC 5mg clean-crafted CBD Fast-acting Made with organic ingredients Preservative-free No artificial flavors or colors,5mg CBD; 5mg THC,5mg,"CBD
THC","Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color.",Get a slice of summery goodness year round with Upstate’s THC + CBD Watermelon Gummies. 5mg each of fast-acting THC and CBD goes into each one for effects that hit in as little as 15 minutes.,"Not available to ship to VT and CA, including local pickup."
5mg THC + 5mg CBG Yuzu Gummies,Gummies,"CBG, Focus, Gummies, NoShip_California, NoShip_Vermont, THC, vibe",29.99,5mg straight-from-the-plant THC 5mg mood-boosting CBG Fast-acting Made with organic ingredients Preservative-free No artificial flavors or colors,5mg CBG; 5mg THC,5mg,"CBG
THC","Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color.",Punch out from your daily grind with Upstate’s THC + CBG Yuzu Gummies. A potent 5mg each of THC and CBG and only natural ingredients goes into each one to keep your downtime uplifting.,"Not available to ship to VT and CA, including local pickup."
5mg THC Passion Fruit Seltzer,Beverages,"Beverages, CBD, NoShip_California, NoShip_Vermont, THC, Vibe",23.99,"5mg each of hemp-derived THC and CBD Zero calories, sweetened only with organic blue agave Made with organic ingredients Preservative-free No artificial flavors or colors Hangover-free high!",Serving size = 1 can,5mg,THC,"Carbonated water, organic agave, citric acid, natural flavors, natural colors, hemp extract","Upstate’s 5mg Passion Fruit THC Seltzer has zero artificial ingredients, just natural passion fruit flavors and 5mg each of fast-acting THC and CBD for a guilt-free trip to the treetops.","Not available to ship to VT and CA, including local pickup."
5mg THC Green Mango Seltzer,Beverages,"Beverages, CBD, NoShip_California, NoShip_Vermont, THC",23.99,"5mg each of hemp-derived THC and CBD Zero calories, sweetened only with organic blue agave Made with organic ingredients Preservative-free No artificial flavors or colors Hangover-free high!",Serving size = 1 can,5mg,THC,"Carbonated water, organic agave, citric acid, natural flavors, natural colors, hemp extract","Stay sharp with Upstate’s 5mg Green Mango THC Seltzer! Tart green mango flavor is sweetened with 1g of organic blue agave, then boosted with 5mg each of our hemp-derived THC and CBD.","Not available to ship to VT and CA, including local pickup."
5mg THC Zesty Lime Ginger Ale,Beverages,"Beverages, CBD, NoShip_California, NoShip_Vermont, THC, vibe",23.99,"5mg each of hemp-derived THC and CBD Just 50 calories per can, ⅓ of a typical soda Made with organic ingredients Preservative-free No artificial flavors or colors Hangover-free high!",Serving size = 1 can,5mg,THC,"Carbonated water, organic agave, citric acid, natural flavors, natural colors, hemp extract","Upstate’s 5mg Zesty Lime THC Ginger Ale is your new after work lift. A sharp, citrus-spiked take on a classic ginger ale with 5mg each of hemp-derived THC and CBD for a tingly body boost.","Not available to ship to VT and CA, including local pickup."
5mg THC Orange Pop Soda,Beverages,"Beverages, CBD, NoShip_California, NoShip_Vermont, THC, Vibe",23.99,"5mg each of hemp-derived THC and CBD 100 calories per can, 1/3 lower than most sodas Made with organic ingredients Preservative-free No artificial flavors or colors Hangover-free high!",Serving size = 1 can,5mg,THC,"Carbonated water, organic agave, citric acid, natural flavors, natural colors, hemp extract","Upstate’s 5mg Orange Pop THC Soda is a classic, crushable orange treat spiked with 5mg each of fast-acting, hemp-derived THC and CBD, and no artificial ingredients for a hangover-free lift.","Not available to ship to VT and CA, including local pickup."
1mg THC Zesty Lime Ginger Ale,Beverages,"Beverages, CBD, NoShip_California, THC, vibe",19.99,"1mg of hemp-derived THC and 15mg CBD Just 50 calories per can, ⅓ of a typical soda Made with organic ingredients Preservative-free No artificial flavors or colors Hangover-free high!",Serving size = 1 can,1mg,"CBD
THC","Carbonated water, organic agave, citric acid, natural flavors, natural colors, hemp extract","Upstate’s 1mg Zesty Lime THC Ginger Ale is your new after work lift. A sharp, citrus-spiked take on a classic ginger ale with 1mg of hemp-derived THC and 15mg CBD for a tingly body boost.",Not available to ship to CA.
1mg THC Orange Pop Soda,Beverages,"Beverages, CBD, NoShip_California, THC, Vibe",19.99,"1mg of hemp-derived THC and 15mg CBD 100 calories per can, 1/3 lower than most sodas Made with organic ingredients Preservative-free No artificial flavors or colors Hangover-free high!","Serving size = 1 can, 1mg hemp-derived THC + 15mg CBD",1mg,"CBD
THC","Carbonated water, organic agave, citric acid, natural flavors, natural colors, hemp extract","Upstate’s 1mg Orange Pop THC Soda is a classic, crushable orange treat spiked with a 1mg kick of hemp-derived THC and 15mg CBD, and no artificial ingredients for a hangover-free lift.",Not available to ship to CA.
Tropical Sunrise THC+CBD Gummies,Gummies,"CBD, Gummies, NoShip_California, Relief, THC, Vibe",14.99,1mg straight-from-the-plant THC 15mg relaxing CBD Fast-acting Made with organic ingredients Preservative-free No artificial flavors or colors,15mg CBD; 1mg THC,1mg,"CBD
THC","Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color.","Our Upstate Tropical Sunrise THC+CBD gummies’ 1mg hemp-derived THC + 15mg CBD gives you the elevated vibes you need to get things done, without any spaciness.",Not available to ship to CA.
"Deeper Dreams CBN+CBD Gummy, 15mg",Gummies,"CBD, CBN, Gummies, NoTHC, Sleep",39.99,"Calming CBD, free from THC CBN to support a healthy sleep routine* Melatonin for sleep support* Made with organic ingredients Preservative-free No artificial flavors or colors","1 serving = 10mg CBD, 5mg CBN, 5mg Melatonin",,"CBD
CBN","Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color, melatonin","We blended our nighttime gummies with sleep-supporting CBN, so now our Upstate Elevator Deeper Dreams gummies are an even better bedtime companion.",
Deep Calm CBN+CBG+CBD Peppermint Hemp Extract - 1500mg (30ml),Tinctures,"Best Seller, Calm, CBD, CBG, CBN, NoShip_California, NoTHC, Sleep, Tinctures",44.99,Calming craft CBD CBN for deep full body relaxation Fast-acting Made with organic ingredients Preservative-free No artificial flavors or colors,"1 serving = 30mg CBD, 10mg CBN, 10mg CBG",,"CBD
CBG
CBN","Full Spectrum hemp extract, organic fractionated coconut medium-chain triglycerides, organic peppermint oil","Whether you’re looking to take the edge off your evening or wind down after a long day, Upstate Elevator’s Deep Calm CBN+CBG+CBD Peppermint hemp extract can provide the soothing calm you’re after.","Not available to ship to CA, including local pickup."
75mg Organic Full Spectrum CBG+CBD+CBDA Capsules,Capsules,"Capsules, CBD, CBDA, CBG, Focus, NoShip_California, NoTHC",79.99,"USDA certified organic Calming, full spectrum CBD Full-Spectrum Raw CBDA for digestive and wellness support Preservative-free No artificial flavors or colors","25mg CBD, 25mg CBG, 25mg CBDA",,"CBD
CBDA
CBG","Organic coconut oil, organic full spectrum hemp extract, vegetarian capsules *Note: The shade of the CBD oil in our capsules may vary by batch due to slight differences in the production process. Every batch is 3rd party lab tested for quality and consistency.","Upstate Elevator’s new 75mg Full Spectrum 1:1:1 CBG + CBD + CBDA capsules are ideal for putting the workday behind you, movie night chill outs, or rebalancing your karmic checkbook. \n","Not available to ship to CA, including local pickup."
30mg Organic CBG+CBD Tart Berry Gummies,Gummies,"CBD, CBG, Focus, Gummies, NoShip_California, NoTHC",49.99,USDA certified organic Calming CBD CBG for a soothing mood boost Fast-acting Preservative-free No artificial flavors or colors,15mg CBD; 15mg CBG,,"CBD
CBG","Organic tapioca syrup, organic sugar, water, pectin, organic strawberry lemonade flavoring, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic hibiscus juice concentrate",Upstate Elevator’s organic full spectrum Tart Berry CBG+CBD Gummies hit the spot as an afternoon coffee replacement or post-workout recovery aid.,"Not available to ship to CA, including local pickup."
1500mg Soothing CBD Muscle Cream (2oz),Topicals,"CBD, NoShip_California, NoTHC, Relief, Topicals",29.99,Powerful botanical + CBD ingredients Soothing Natural Scent Free from suspect chemicals Third party potency and purity testing Never tested on animals Made in Vermont with artfully sourced global materials,2oz (1500mg CBD),,CBD,"* Aloe Leaf Juice (Aloe Barbadensis), Sweet Almond Oil (Prunus Amygdalus Dulcis), Emulsifying Wax (Cetyl Alcohol, Stearyl Alcohol, Polysorbate 60), Stearic Acid, Glycerin, Phenoxyethanol, Vitamin E (Tocopherol), Sunflower Seed Oil (Helianthus Annuus), * Shea Butter (Butyrospermum Parkii), * Jojoba Seed Oil (Simmondsia Chinensis), Avocado Fruit Oil (Persea Gratissima), Chamomile, * Eucalyptus, * Clove, * Peppermint, * Ginger, Coriander, * Lavender, * Menthol, Camphor, Full Spectrum Hemp Extract, * White Willow Bark Extract (Salix Alba), * Neem Seed Oil (Melia Azadirachta), * Rosemary Leaf Extract (Rosmarinus Officinalis), * Sunflower Seed Oil (Helianthus Annuus), Lecithin, Xanthan Gum, * Alcohol, Carbomer, Baking Soda (Sodium Bicarbonate), Tetrasodium Glutamate Diacetate   * Certified Organic","Support recovery with Upstate’s CBD Soothing Muscle Cream carefully formulated with Organic Vermont full spectrum hemp. For best results, store chilled. If separated, close tightly and shake.","Not available to ship to CA, including local pickup."
CBD Raspberry Hibiscus Lime Seltzer,Beverages,"Beverages, CBD, NoTHC",24.99,10mg of clean crafted CBD Zero calories Zero sugar Made with organic ingredients Preservative-free No artificial flavors or colors,12oz. (355ml); 10mg CBD,,CBD,"Carbonated water, natural flavors, hemp extract, citric acid","Upstate Elevator’s THC-free Raspberry Hibiscus Lime CBD Seltzer pairs 10mg CBD with tart and refreshing ripe raspberry, lime, and exotic hibiscus flower to help you relax in minutes!",
CBD Black Cherry Lemon Seltzer,Beverages,"Beverages, CBD, NoTHC",24.99,10mg of clean crafted CBD Zero calories Zero sugar Made with organic ingredients Preservative-free No artificial flavors or colors,12oz. (355ml); 10mg CBD,,CBD,"Carbonated water, natural flavors, hemp extract, citric acid","Upstate Elevator’s zero-calorie, THC-free CBD Black Cherry Lemon Seltzer is infused with bright flavors of rich, ripe black cherry and tart, sun-ripened Sicilian lemon to help you unwind.",
CBD African Ginger & Mexican Lime Soda,Beverages,"Beverages, CBD, NoTHC",24.99,"10mg of clean crafted CBD Just 50 calories per can, ⅓ of a typical soda Sweetened only with organic blue agave Made with organic ingredients Preservative-free No artificial flavors or colors",12oz. (355ml); 10mg CBD,,CBD,"Carbonated water, organic blue agave, natural flavors, hemp extract, citric acid","Upgrade your downtime with Upstate’s THC-free African Ginger Mexican Lime CBD Soda. Spicy, effervescent ginger and frosty lime are the headliners, but 10mg of fast-acting CBD is the real star here.",
CBG+CBD Wild Strawberry Tangerine Seltzer,Beverages,"Beverages, CBD, CBG, Focus, NoTHC",24.99,5mg each of clean CBD and CBG Zero calories Zero sugar Made with organic ingredients Preservative-free No artificial flavors or colors,12oz. (355ml); 5mg CBD + 5mg CBG,,"CBD
CBG","Carbonated water, natural flavors, hemp extract, citric acid","Upstate Elevator's thc-free Strawberry Tangerine CBG+CBD Seltzer lends a light, uplifting effect to help you rebalance and refocus.",
Minor Madness Bundle,Bundles,"Bundles, CBD, CBDA, CBG, NoShip_California, NoTHC",85.49,"USDA certified organic Preservative-free No artificial flavors or colors Calming CBD, free from THC (CBD+CBG Hemp Extract) CBG for a soothing mood boost (CBD+CBG Hemp Extract) Calming, full spectrum CBD (CBG+CBD+CBDA Capsules) Full-Spectrum Raw CBDA for digestive and wellness support (CBG+CBD+CBDA Capsules)",Organic CBD+CBG Hemp Extract:  50mg per serving; 1500mg Cannabinoids per 30ml bottle  Organic Full Spectrum CBG+CBD+CBDA Capsules: 30mg per capsule (900mg total cannabinoids),,"CBD
CBDA
CBG","Organic CBD+CBG Hemp Extract: Organic Coconut Fractionated Medium Chain Triglycerides, Organic Full Spectrum Hemp Extract  Organic Full Spectrum CBG+CBD+CBDA Capsules: Organic Coconut Oil, Organic Full Spectrum Hemp Extract, Vegetarian Capsules","Explore the greater potential of hemp—beyond CBD—with this set of multi-cannabinoid products featuring CBG, CBDA, and CBD.","Not available to ship to CA, including local pickup."
Sleep Bundle,Bundles,"Bundles, CBD, CBG, CBN, NoShip_California, NoTHC, Sleep",76.49,Calming craft CBD CBN to support a healthy sleep routine* Made with organic ingredients Preservative-free No artificial flavors or colors Melatonin for sleep support* (Deeper Dreams Gummies) Mood-boosting CBG (Deep Calm Tincture),"15mg Deeper Dreams CBN+CBD Gummies: 10mg CBD, 5mg CBN, 5mg melatonin per serving  1500mg Deep Calm CBG+CBN+CBD Peppermint Hemp Extract: 30mg CBD, 10mg CBN, 10mg CBG",,"CBD
CBG
CBN","15mg Deeper Dreams CBN+CBD Gummies: Organic tapioca syrup, organic sugar, water, pectin, organic natural flavors, organic citric acid, sodium citrate, organic fractionated coconut medium chain triglycerides, organic color, Melatonin  Deep Calm CBG+CBN+CBD Peppermint Hemp Extract: Organic Full Spectrum Hemp Extract, Organic Fractionated Coconut Medium-Chain Triglycerides, Organic Peppermint Oil",Find great savings and a restful night’s sleep in Upstate's essential Sleep Bundle including our Deeper Dreams CBN+CBD Gummies and Deep Calm CBG+CBN+CBD Peppermint Hemp Extract.,"Not available to ship to CA, including local pickup."
Day & Night Bundle,Bundles,"Bundles, CBD, CBG, CBN, NoShip_California, NoTHC",89.99,Calming craft CBD Preservative-free No artificial flavors or colors USDA certified organic (Organic CBD+CBG Hemp Extract) CBG for a soothing mood boost (Organic CBD+CBG Hemp Extract) CBN for deep full body relaxation (Deep Calm Peppermint Hemp Extract) Made with organic ingredients (Deep Calm Peppermint Hemp Extract),30ml: 50mg per serving; 1500mg Cannabinoids per 30ml bottle,,"CBD
CBG
CBN","1:1 Organic CBD+CBG Hemp Extract:  Organic Coconut Fractionated Medium Chain Triglycerides, Organic Full Spectrum Hemp Extract Deep Calm CBN+CBG+CBD Organic Peppermint Hemp Extract:  Organic Full Spectrum Hemp Extract, Organic Fractionated Coconut Medium-Chain Triglycerides, Organic Peppermint Oil",Upstate's Day & Night Bundle includes our best-selling  1:1 Organic CBD+CBG Hemp Extract and Deep Calm CBN+CBG+CBD Organic Peppermint Hemp Extract.,"Not available to ship to CA, including local pickup."
Muscle & Joint Essential Oil Patch,,"CBD, NoTHC, Relief, Topicals",7.99,Powerful botanical + CBD ingredients Relaxing natural scent Free from suspect chemicals Third party potency and purity testing Never tested on animals Made in Vermont from artfully sourced global materials,,,CBD,"Extra virgin olive oil, CBD isolate, arnica, cayenne, rosemary, lemongrass, and ginger essential oils","Our 10mg CBD Muscle & Joint Essential Oil Patches contain a powerful union of Vermont organic full-spectrum CBD, arnica, and essential oils.",
1:1 Organic CBD+CBG Hemp Extract,Tinctures,"CBD, CBG, Focus, NoShip_California, NoTHC, Tinctures",49.99,USDA certified organic Calming CBD CBG for a soothing mood boost Preservative-free No artificial flavors or colors,30ml: 50mg per serving; 1500mg Cannabinoids per 30ml bottle,,"CBD
CBG","Organic coconut fractionated medium chain triglycerides, organic full spectrum hemp extract",Upstate’s 1:1 Organic CBG + CBD Hemp Extract is the first certified organic full spectrum blend of these two powerful cannabinoids available anywhere.,"Not available to ship to CA, including local pickup."
30mg Organic Full Spectrum CBG+CBD+CBDA Capsules,Capsules,"Capsules, CBD, CBDA, CBG, Focus, NoShip_California",44.99,"USDA certified organic Calming, full spectrum CBD Full-Spectrum Raw CBDA for digestive and wellness support Preservative-free No artificial flavors or colors","(30 ct) 30mg per capsule, 30 capsules per bottle (900mg total cannabinoids)",,"CBD
CBG
CBDA","Organic coconut oil, organic full spectrum hemp extract, vegetarian capsules. *Note: The shade of the CBD oil in our capsules may vary by batch due to slight differences in the production process. Every batch is 3rd party lab tested for quality and consistency.",Upstate’s 30mg Full Spectrum CBG + CBD + CBDA capsules are the first certified organic full spectrum blend of these three powerful cannabinoids available anywhere.,"Not available to ship to CA, including local pickup."
50mg Organic Full Spectrum CBD Capsules,Capsules,"Capsules, CBD, THC",79.99,,"50mg per capsule, 30 capsules per bottle (1500mg CBD total)",,"CBD
THC","Organic Coconut Oil, Organic Full Spectrum Hemp Extract, Vegetarian Capsules  *Note: The shade of the CBD oil in our capsules may vary by batch due to slight differences in the production process. Every batch is 3rd party lab tested for quality and consistency.",,
30mg Organic Full Spectrum CBD Capsules,Capsules,"Calm, Capsules, CBD, NoShip_California, THC",44.99,"USDA certified organic Calming, potent, full spectrum CBD Full spectrum of cannabinoids increases effectiveness Preservative-free No artificial flavors or colors Vegan and gluten-free","(30 ct) 30mg per capsule, 30 capsules per bottle (900mg CBD total)",,CBD,"Organic coconut oil, organic full spectrum hemp extract, vegetarian capsules. *Note: The shade of the CBD oil in our capsules may vary by batch due to slight differences in the production process. Every batch is 3rd party lab tested for quality and consistency.",Upstate’s potent 30mg Organic Full Spectrum CBD Capsules are proudly made from USDA certified organic Vermont-grown hemp flower.,"Not available to ship to CA, including local pickup."
30mg Fruit Slice CBD Gummies,Gummies,"Calm, CBD, Gummies, NoTHC",49.99,"Calming CBD, free from THC Made with organic ingredients Preservative-free No artificial flavors or colors Vegan",(30 ct) 30mg per gummy; 30 gummies per bag (900mg total),,CBD,"Organic glucose syrup (wheat), organic cane sugar, pectin, citric acid, ascorbic acid, natural flavors, natural color (organic concentrated apple, organic carrot, organic pumpkin, organic black currant}, wheat starch",Elevate your day with Upstate Elevator's bright and flavorful 30mg Fruit Slice CBD Gummies made with organic ingredients.,
30mg Organic THC Free CBD Capsules,Capsules,"Calm, Capsules, CBD, NoTHC",39.99,"USDA certified organic Calming, potent, CBD Free from THC Preservative-free No artificial flavors or colors Vegan and gluten-free","30mg per capsule, 30 capsules per bottle (900mg total CBD)",,CBD,"Organic coconut oil, organic CBD isolate, vegetarian capsules.",These fast-acting Organic THC Free CBD Capsules from Upstate Elevator are made with 30mg of certified organic CBD isolate and non-GMO organically grown hemp.,
200mg Less-Stress CBD Roll-On (10ml),Topicals,"Calm, CBD, NoTHC, Topicals",19.99,Powerful botanical + CBD ingredients Relaxing natural scent Free from suspect chemicals Third party potency and purity testing Never tested on animals Made in Vermont from artfully sourced global materials,,,CBD,"Organic Simmondsia Chinensis (Jojoba) Oil, Lavandula Angustifolia (Lavender) Oil, Clary Sage (Salvia Sclarea) Oil, Citrus Limon (Lemon) Oil, Citrus Sinensis (Orange) Oil, Salvia Rosmarinus (Rosemary) Oil, Nardostachys Jatamansi (Spikenard) Oil, Chrysopogon zizanioides (Vetivert) Oil, Cannabis Sativa (Full Spectrum Hemp) Extract","Handcrafted with organically grown Vermont hemp, our roll-on provides a convenient way to free yourself from everyday worries.",
CBD for Pets - Hemp Salmon Oil,Pets,"CBD, NoShip_California, NoTHC, Pets",24.99,"Help the furriest members of the family find calm and relief. Upstate’s Salmon Oil CBD for Pets combines Full Spectrum Hemp Extract and Wild Alaskan Salmon Oil, which is high in EPA and DHA omega-3 fatty acids. Upstate’s Salmon Oil Hemp Extract is a great option for anyone looking to introduce CBD to their pet.  Shake the bottle before each use and administer oil directly on food. Split recommended daily use between AM/PM for best results. Adjust dosage if necessary.",25-50lbs – 1 Dropper (8mg),,CBD,"Wild Alaskan Salmon Oil, Organic MCT Oil, Full Spectrum Hemp Extract",,
Organic THC Free CBD MCT Oil,Tinctures,"Calm, CBD, NoTHC, Tinctures",39.99,"USDA certified organic Calming CBD, free from THC MCT oil base for easy blending Made with organic ingredients Preservative-free No artificial flavors or colors",30ml: 50mg per serving; 1500mg CBD per 30ml bottle,,CBD,"Organic coconut fractionated medium chain triglycerides, organic CBD isolate","Upstate Elevator's THC Free CBD MCT Oil contains USDA certified organic CBD isolate, ideal for those in need of a quick dose of calm and focus* without THC.",
Organic Lemon Hemp Extract,Tinctures,"Calm, NoTHC, Relief, Tinctures",44.99,"You know you could use a little time Upstate, but crave some flexibility as to how and when. Meet Upstate’s Organic 100% and clean-crafted full spectrum Lemon Hemp Extract made with a touch of certified organic lemon oil and certified organic MCT oil. The bright lemon taste is delicious in hot and cold beverages; salad dressings; and raw food dishes. For immediate results, put several drops under the tongue. This organic, vegan tincture is your express ticket Upstate.",30ml: 50mg per serving; 1500mg Cannabinoids per 30ml bottle,,"CBD
THC","Organic Full Spectrum Hemp Extract, Organic Fractionated Coconut Medium-Chain Triglycerides, Organic Lemon Oil",,
CBD for Pets - Hemp Chewy Joint Bites,Pets,"CBD, NoShip_California, NoTHC, Pets, Relief",19.99,Calming CBD hemp extract Nutrient-rich hemp meal and hemp seed oil Glucosamine HCI to promote joint health Alaskan salmon oil promotes healthier skin and coat,Dogs: Up to 25lbs (½ chew daily); 26-50lbs (1 chew daily); 51-75lbs (2 chews daily); Over 75lbs (3 chews daily)  Cats: ½ chew daily. For cats that are finicky eaters break chew into smaller pieces,,CBD,"Active Ingredients Per Chew (3.5 g): 500mg glucosamine HCl (shrimp & crab), 250mg methylsulfonylmethane (MSM), 50mg chondroitin sulfate (porcine), 20mg omega 3 fatty acids (from alaskan salmon oil), 15mg boswellia serrata, 5mg hyaluronic acid (HA, hyamax), 4.23mg hemp extract (aerial parts) yielding 2.5 mg CBD  Inactive Ingredients: arabic gum, brewer’s yeast, calcium sulfate, canola oil, chicken liver flavor, citrus pectin, coconut oil, glycerin, maltodextrin, mixed tocopherols, oat flour, propionic acid, rosemary extract, sodium alginate, sorbic acid, sunflower lecithin, sunflower oil.","Crafted with clean-crafted, Vermont grown hemp oil, Upstate Elevator's Hemp Chewy Joint Bites for dogs and cats can help promote healthy joint function.",
CBD for Pets - Hemp Chewy Calm Bites,Pets,"Calm, CBD, NoShip_California, NoTHC, Pets",19.99,"Calming CBD hemp extract Clean crafted, nutrient-rich hemp oil Lemon balm to soothe high-strung animals L-theanine to promote sense of calm",Dogs: Up to 25lbs (½ chew daily); 26-50lbs (1 chew daily); 51-75lbs (2 chews daily); Over 75lbs (3 chews daily) Cats: ½ chew daily. For cats that are finicky eaters break chew into smaller pieces,,CBD,"Active Ingredients Per Chew: 20mg L-theanine (Suntheanine brand), 10mg lemon balm, 4.23mg hemp oil (aerial parts) contains 2.5 mg naturally occurring CBD Inactive Ingredients: arabic gum, brewer’s yeast, calcium sulfate, canola oil, chicken liver flavor,citrus pectin, coconut oil, glycerin, maltodextrin, mixed tocopherols, oat flour, propionic acid, rosemary extract, sodium alginate, sorbic acid, sunflower lecithin, sunflower oil.","Upstate’s best-selling Chewy Calm Bites for Dogs & Cats are crafted with hemp oil, lemon balm and L-Theanine to bring comfort and calm for furry friends.",
10mg Mixed Fruit CBD Gummies,Gummies,"Calm, CBD, Gummies, NoTHC",49.99,"Calming CBD, free from THC Made with organic ingredients Preservative-free No artificial flavors or colors Vegan and gluten-free",10mg per gummy; 50 gummies per bottle (500mg total) 10mg per gummy; 10 gummies per bag (100mg total),,CBD,"Organic cane sugar, organic tapioca syrup, organic grape juice concentrate, pectin, citric acid, ascorbic acid, colors added (organic black carrot juice concentrate, organic turmeric, organic annatto), natural flavors,","Organic and THC-free, Upstate Elevator 10mg Mixed Fruit CBD Gummies are excellent for those new to CBD edibles.",
